% file: gentab 
% date: 23-Mar-2026 07:54:08 
rank,pcg,direct_decoupled,direct
5,0.120483164448517,0.120483284150169,0.12048328415017
10,0.101214644400974,0.10121433822514,0.101214338225141
15,0.0908836043814145,0.0908826091173944,0.0908826091173943
20,0.0840919547209644,0.0840912402645179,0.0840912402645192
25,0.0795335885548577,0.0795368117023907,0.0795368117023962
30,0.075306704570365,0.0753060631221224,0.075306063122123
35,0.071425065291977,0.071475081823525,0.0714750818235208
40,0.0683798490738253,0.0683241116711026,0.0683241116711031
45,0.0654870698121192,0.065475837123565,0.0654758371235676
50,0.0631121866940152,0.0634193295083906,0.0634193295083939
