% file: gentab 
% date: 16-Jul-2026 15:47:13 
rank,pcg,direct_nonsym,cg,pcg_v1,pcg_v2
5,0.116686016693657,0.116684897021345,0.11838978499484,0.116910480497395,0.116691289092989
10,0.0945939422210043,0.0945928564705096,0.0973429681720253,0.0955615120546235,0.094738292507264
15,0.0827702071849056,0.0827709353318944,0.0835789520629302,0.0833729632431257,0.0832902146721619
20,0.0739086739282383,0.0739049803243548,0.0759228672982504,0.0733604561616955,0.0736941503572778
25,0.0656239135159063,0.0656151793650607,0.0694751079239778,0.0664247411070587,0.0656200961336879
30,0.0599158002402783,0.0599145360605396,0.0629074851742244,0.0597290617022805,0.0600231982453525
35,0.054288696637627,0.0542851081885849,0.0584607343475968,0.0540803033044994,0.054310210150705
40,0.0493659610424693,0.049365536476677,0.0535301835745375,0.0488586106042765,0.0492644698065219
45,0.0447484924354675,0.0447461609692732,0.0499321514874384,0.0450056950300732,0.0448298204521421
50,0.0402942435435025,0.0402944497179965,0.0465086302409487,0.0405552390337712,0.0403492869255242
