% file: gentab 
% date: 16-Jul-2026 15:47:13 
rank,pcg,direct_nonsym,cg,pcg_v1,pcg_v2
5,1.515366,75.593386,9.117271,5.102008,10.429249
10,3.016847,229.768867,17.050348,11.569434,17.694022
15,4.632756,481.045813,26.32093,18.729364,24.213084
20,6.775255,819.289025,32.530408,23.353213,28.476518
25,8.774303,1300.065267,42.771073,30.246014,36.665049
30,10.768943,1844.384775,49.063143,35.440311,44.058829
35,12.892135,2522.998528,59.692346,43.703617,55.259884
40,15.030255,3343.084483,65.631165,49.109779,57.37524
45,18.080584,4181.882037,77.619219,58.475548,68.955516
50,21.446501,5174.038434,82.491391,64.845272,75.402133
