% file: gentab 
% date: 23-Mar-2026 14:05:40 
rank,pcg,direct_decoupled,direct
5,0.125703435502089,0.125703281066489,0.125703281066511
10,0.0473017369494077,0.0471888936337999,0.0471888936233633
15,0.0291377025660256,0.0291252950666524,0.0291252950223675
20,0.0219821977369315,0.021622349001611,0.0216223489777472
25,0.0189138985799153,0.0190075854413635,0.0190075853778609
30,0.0146464042462962,0.0144983518006046,0.0144983518535411
35,0.0118128595585245,0.0112506927306885,0.0112506926139324
40,0.0096928611453462,0.00950192071550785,0.0095019208144462
45,0.00856098556246326,0.00764694038715577,0.00764694045085139
50,0.0071565614255785,0.00651681494389399,0.00651681444275369
