% file: gentab 
% date: 16-Jul-2026 15:47:13 
rank,pcg,direct_nonsym,cg,pcg_v1,pcg_v2
5,0.118141690364204,0.116912451806052,0.119073165527088,0.118157035383606,0.115154726563391
10,0.0476282259311999,0.0470782658581302,0.0456430341720206,0.0495405884371449,0.0453705622899172
15,0.0357860129918504,0.035707939513134,0.0370641234029401,0.0359480681455845,0.0337176986800676
20,0.0208764821076792,0.0216395832302148,0.0238477311986783,0.0204379792633107,0.0222626515152613
25,0.0176279469653678,0.0175811521201722,0.0208643273931492,0.0175758256328079,0.0175632136668145
30,0.0142849800835989,0.0146689839256921,0.0197757329021067,0.0150220721493286,0.0122968010523128
35,0.011293905217256,0.0112323070615664,0.0159439870912039,0.0104759707502516,0.0107728403755533
40,0.00918777341574219,0.00920678311589177,0.0151224369925639,0.00875830973550435,0.00902637456249087
45,0.00836419545686985,0.00847802988363471,0.0165754257914985,0.00811829606797462,0.00875003601130568
50,0.00787280387346618,0.00807959032275862,0.0161399412081113,0.008068920864187,0.0132785466340608
