% file: gentab 
% date: 16-Jul-2026 15:47:13 
rank,pcg,direct_nonsym,cg,pcg_v1,pcg_v2
5,1.248502,91.867167,8.514462,4.111949,15.113425
10,2.470705,300.44583,16.388085,10.972384,24.432306
15,3.766635,631.052602,25.178204,17.980046,32.895913
20,5.248668,1088.06397,32.520707,23.394141,39.464244
25,6.733302,1702.470494,40.071973,33.539727,47.439202
30,8.256407,2452.515002,46.724321,41.957717,54.140817
35,9.885011,3419.895214,55.019041,51.100112,63.08104
40,11.441976,4439.423419,62.603477,60.273288,72.727845
45,13.453162,5663.048893,70.196924,69.008014,83.358497
50,14.521675,7159.327477,79.218231,76.836955,92.396787
