# Max value = 2.07e-01, Min value = -6.07e-03
x f1 f2 f3 
1 0.000526406 -0.00231806 0.00475177 
2 0.000464519 -0.00153737 0.00229829 
3 0.000404874 -0.000751552 -5.12833e-06 
4 0.000348824 1.9033e-05 -0.00206961 
5 0.000297617 0.00075299 -0.00380247 
6 0.000252347 0.00142857 -0.00510924 
7 0.000213917 0.00202443 -0.00589589 
8 0.000183 0.00252048 -0.00607122 
9 0.000160019 0.00289878 -0.00554933 
10 0.00014512 0.00314448 -0.00425215 
11 0.000138168 0.00324673 -0.00211188 
12 0.000138748 0.00319958 0.000926666 
13 0.00014618 0.00300284 0.00490393 
14 0.000159534 0.00266277 0.00984376 
15 0.00017767 0.00219268 0.0157519 
16 0.000199272 0.00161333 0.0226148 
17 0.000222899 0.000953184 0.0303993 
18 0.00024703 0.000248352 0.0390518 
19 0.000270121 -0.000457653 0.0484995 
20 0.000290652 -0.00111443 0.0586506 
21 0.000307181 -0.00166548 0.0693959 
22 0.000318386 -0.00204924 0.080611 
23 0.0003231 -0.00220033 0.0921581 
24 0.000320341 -0.00205108 0.103889 
25 0.000309333 -0.00153322 0.115648 
26 0.000289513 -0.000579626 0.127276 
27 0.000260532 0.000873698 0.138613 
28 0.000222246 0.00288571 0.149501 
29 0.000174697 0.00550838 0.159789 
30 0.000118097 0.00878487 0.169334 
31 5.27976e-05 0.0127478 0.178009 
32 -2.07273e-05 0.0174178 0.185698 
33 -0.000101905 0.0228022 0.192306 
34 -0.000190078 0.0288941 0.197755 
35 -0.000284505 0.0356718 0.201989 
36 -0.000384356 0.0430986 0.204974 
37 -0.000488684 0.0511229 0.206697 
38 -0.000596397 0.0596789 0.207167 
39 -0.000706193 0.0686874 0.206413 
40 -0.000816497 0.0780575 0.204485 
41 -0.000925378 0.0876878 0.201449 
42 -0.00103045 0.0974687 0.197389 
43 -0.00112877 0.107285 0.192399 
44 -0.00121673 0.117017 0.186587 
45 -0.00128997 0.126545 0.180066 
46 -0.00134323 0.135751 0.172955 
47 -0.00137034 0.14452 0.165376 
48 -0.00136406 0.152745 0.157449 
49 -0.00131613 0.160327 0.14929 
50 -0.00121719 0.167179 0.141012 
51 -0.00105683 0.173225 0.132719 
52 -0.000823645 0.178406 0.124505 
53 -0.000505328 0.182676 0.116455 
54 -8.88129e-05 0.186006 0.108641 
55 0.000439548 0.188382 0.101123 
56 0.00109377 0.189808 0.093951 
57 0.00188799 0.1903 0.0871594 
58 0.00283617 0.189892 0.0807731 
59 0.00395183 0.188628 0.0748055 
60 0.00524773 0.186565 0.0692598 
61 0.00673551 0.183771 0.0641307 
62 0.00842544 0.180318 0.0594052 
63 0.0103261 0.176286 0.0550643 
64 0.0124441 0.17176 0.051084 
65 0.0147837 0.166822 0.0474371 
66 0.0173471 0.161557 0.0440943 
67 0.0201336 0.156047 0.0410255 
68 0.02314 0.150369 0.0382008 
69 0.0263604 0.144594 0.0355915 
70 0.0297861 0.138788 0.0331707 
71 0.0334061 0.133008 0.030914 
72 0.0372065 0.127304 0.0288002 
73 0.0411716 0.121716 0.0268108 
74 0.0452834 0.116277 0.0249308 
75 0.0495223 0.111011 0.0231482 
76 0.0538671 0.105935 0.021454 
77 0.0582957 0.101058 0.0198419 
78 0.0627853 0.0963825 0.0183076 
79 0.0673127 0.0919073 0.016849 
