# Max value = 2.34e-01, Min value = 3.92e-03
x f1 f2 f3 
1 0.0574844 0.0438951 0.121663 
2 0.0591974 0.0420512 0.130804 
3 0.0606478 0.0398771 0.139646 
4 0.0619643 0.037633 0.148185 
5 0.0632972 0.0356035 0.156445 
6 0.0648046 0.0340752 0.164469 
7 0.0666376 0.0333121 0.172304 
8 0.0689257 0.0335345 0.17999 
9 0.0717642 0.0349003 0.187538 
10 0.0752057 0.0374946 0.194924 
11 0.079256 0.0413264 0.202068 
12 0.0838755 0.046333 0.208836 
13 0.088985 0.0523933 0.215037 
14 0.0944761 0.0593451 0.220427 
15 0.100224 0.0670078 0.224725 
16 0.106101 0.0752036 0.227632 
17 0.111989 0.0837778 0.228851 
18 0.117791 0.0926132 0.228115 
19 0.123437 0.101638 0.225208 
20 0.128886 0.110827 0.219992 
21 0.134122 0.120191 0.212419 
22 0.139151 0.129767 0.202546 
23 0.143994 0.139594 0.190537 
24 0.14867 0.149696 0.176661 
25 0.153196 0.160059 0.161275 
26 0.157572 0.170614 0.14481 
27 0.161781 0.181228 0.127743 
28 0.165788 0.191695 0.110571 
29 0.169538 0.201743 0.0937815 
30 0.172966 0.211045 0.0778256 
31 0.176001 0.219236 0.063092 
32 0.178573 0.225942 0.0498889 
33 0.180623 0.230799 0.0384306 
34 0.182104 0.23349 0.0288318 
35 0.182985 0.23376 0.0211092 
36 0.183253 0.231449 0.015189 
37 0.182904 0.226495 0.0109212 
38 0.181945 0.218949 0.00809657 
39 0.18038 0.208974 0.00646763 
40 0.178211 0.196833 0.00576887 
41 0.175429 0.182876 0.00573668 
42 0.172013 0.167521 0.00612637 
43 0.167928 0.151226 0.00672568 
44 0.163136 0.134467 0.00736378 
45 0.157592 0.11771 0.0079158 
46 0.151263 0.101387 0.00830283 
47 0.14413 0.0858786 0.00848827 
48 0.136201 0.0714957 0.00847104 
49 0.127517 0.0584736 0.0082771 
50 0.118158 0.0469657 0.00794988 
51 0.108241 0.0370458 0.00754112 
52 0.0979194 0.0287139 0.00710255 
53 0.0873761 0.0219062 0.00667944 
54 0.0768122 0.0165076 0.00630598 
55 0.0664361 0.0123651 0.00600302 
56 0.0564505 0.00930266 0.00577772 
57 0.0470402 0.007134 0.00562491 
58 0.0383613 0.0056746 0.00552973 
59 0.0305337 0.00475137 0.00547098 
60 0.0236359 0.00420983 0.00542466 
61 0.017704 0.00391877 0.00536733 
