# Max value = 2.07e-01, Min value = -1.11e-03
idx f1 f2 f3 
1 0.00021932 0.000291523 -1.30588e-05 
2 0.00021252 0.000281614 -4.43998e-05 
3 0.000240617 0.00029118 -9.76382e-05 
4 0.000232923 0.000298426 -0.000229156 
5 0.000232421 0.000328074 -0.000225672 
6 0.000240347 0.000321998 -0.000176871 
7 0.000270021 0.000362254 -0.000119984 
8 0.000262011 0.000383991 -3.9901e-05 
9 0.000270137 0.000415549 0.00034773 
10 0.000303973 0.000436961 0.000985915 
11 0.000303897 0.000475538 0.00189556 
12 0.000320774 0.00047236 0.00338888 
13 0.000345616 0.000541449 0.00536881 
14 0.000335714 0.000548669 0.00823335 
15 0.000367844 0.000619184 0.0117956 
16 0.000405005 0.000644517 0.0183568 
17 0.000408677 0.000643897 0.0245732 
18 0.000488456 0.000784107 0.0327022 
19 0.00053148 0.000819816 0.0422602 
20 0.000532991 0.000849586 0.0527066 
21 0.000595015 0.000917135 0.0634633 
22 0.000556106 0.000919394 0.0759128 
23 0.000620261 0.00113716 0.0893224 
24 0.000648745 0.00131675 0.102136 
25 0.000710639 0.00160256 0.114998 
26 0.000782451 0.00205542 0.128622 
27 0.00079106 0.00260687 0.141485 
28 0.000861619 0.00361258 0.153312 
29 0.000926075 0.00505841 0.164495 
30 0.00104274 0.00693204 0.174717 
31 0.00112411 0.0101476 0.184759 
32 0.00140885 0.0137185 0.192574 
33 0.00156508 0.0181282 0.197792 
34 0.00182035 0.0237595 0.202445 
35 0.00208975 0.0301741 0.204909 
36 0.00235853 0.0372146 0.206385 
37 0.0026861 0.0455791 0.207041 
38 0.00304606 0.0550103 0.206752 
39 0.00335019 0.0649212 0.204829 
40 0.00367948 0.0753823 0.202019 
41 0.00398819 0.0864149 0.198641 
42 0.00444446 0.097146 0.193999 
43 0.00475282 0.108388 0.18958 
44 0.00501148 0.119171 0.183645 
45 0.00533822 0.128804 0.178069 
46 0.00579841 0.14224 0.16889 
47 0.00615564 0.153183 0.160934 
48 0.00641206 0.161814 0.153715 
49 0.00692633 0.169376 0.145367 
50 0.00715606 0.176138 0.137388 
51 0.0074401 0.181375 0.131016 
52 0.00791658 0.18555 0.123564 
53 0.00851029 0.189115 0.116448 
54 0.00894928 0.191215 0.108929 
