# Max value = 2.34e-01, Min value = 3.89e-03
idx f1 f2 f3 
1 0.0589427 0.0555765 0.120345 
2 0.0591878 0.042685 0.13218 
3 0.0600639 0.0358094 0.141229 
4 0.0610129 0.0325222 0.14868 
5 0.06283 0.0307317 0.158253 
6 0.0643227 0.0302569 0.164683 
7 0.0664609 0.0310282 0.172376 
8 0.0688483 0.0324311 0.17943 
9 0.0708294 0.034081 0.184829 
10 0.0739604 0.0369422 0.192803 
11 0.0766598 0.0399401 0.199009 
12 0.0812031 0.0442952 0.206731 
13 0.0869585 0.0510301 0.215682 
14 0.092898 0.0580007 0.221354 
15 0.0999919 0.0675795 0.225904 
16 0.106822 0.0762686 0.228773 
17 0.113413 0.0853195 0.229787 
18 0.119457 0.0942699 0.228891 
19 0.125175 0.103299 0.225543 
20 0.129987 0.111236 0.219989 
21 0.133954 0.119296 0.212337 
22 0.138308 0.128089 0.20119 
23 0.142017 0.136423 0.189057 
24 0.146312 0.145508 0.178125 
25 0.151831 0.15653 0.163348 
26 0.157174 0.169339 0.147191 
27 0.162553 0.180622 0.129414 
28 0.167041 0.193006 0.11193 
29 0.171268 0.204566 0.0929097 
30 0.174593 0.213144 0.0755384 
31 0.177375 0.221179 0.0597622 
32 0.17927 0.226643 0.04769 
33 0.181404 0.231351 0.0359624 
34 0.183053 0.233724 0.0271565 
35 0.183869 0.234095 0.0205565 
36 0.184176 0.233395 0.0158301 
37 0.184221 0.228536 0.0117915 
38 0.183163 0.222052 0.00951747 
39 0.181376 0.210225 0.00877239 
40 0.178791 0.197937 0.0080961 
41 0.175245 0.183048 0.00715906 
42 0.17118 0.165207 0.00688306 
43 0.16715 0.147935 0.00786106 
44 0.162581 0.132538 0.00801226 
45 0.156804 0.114511 0.00762501 
46 0.150882 0.0997712 0.00793703 
47 0.143663 0.0844561 0.00694537 
48 0.136616 0.0713332 0.00695306 
49 0.12816 0.057261 0.00819332 
50 0.118182 0.0447583 0.00694034 
51 0.107365 0.039495 0.00583729 
52 0.0969857 0.0257873 0.00684864 
53 0.0862439 0.0189735 0.00697876 
54 0.0746184 0.0136563 0.00652819 
55 0.0637337 0.00982338 0.00663604 
56 0.0542489 0.00752138 0.00662421 
57 0.0446441 0.00577272 0.00615951 
58 0.0364356 0.00497512 0.00565809 
59 0.0295109 0.00412763 0.00572327 
60 0.0243547 0.00435935 0.00538035 
61 0.0197877 0.0038913 0.00557325 
