# Max value = 7.47e-01, Min value = -2.49e-01
x f1 f2 f3 
1 6.63314e-05 9.6249e-05 0.000662225 
2 4.71003e-06 0.000144415 0.000976484 
3 -4.04416e-05 7.90718e-05 2.31975e-06 
4 -2.13172e-05 0.00019406 -7.254e-05 
5 -2.02041e-05 0.000120021 -0.00113502 
6 -9.35357e-06 0.000512817 -0.00034585 
7 0.000136038 0.000624732 0.000158698 
8 -3.72277e-05 0.000172103 -0.000326117 
9 0.00014268 0.000271224 0.000407607 
10 -0.000154232 0.0003354 0.0011124 
11 -1.52839e-05 0.000262167 0.00115888 
12 3.05034e-05 -1.99453e-05 0.0055045 
13 -5.6902e-06 0.00012664 0.0043735 
14 0.000140401 0.000177778 0.00608373 
15 6.87121e-05 -0.00116021 0.0134694 
16 0.000715456 0.000370771 0.0200332 
17 1.9968e-06 -0.00039179 0.0106798 
18 -5.25237e-05 0.000823449 0.00245027 
19 0.000463967 -9.09268e-05 0.0430559 
20 -9.09628e-05 0.00150643 0.0233494 
21 0.00048035 0.000835524 0.0527052 
22 4.98826e-05 0.00391659 0.00461337 
23 0.000745176 -0.00430927 0.103327 
24 0.000247113 0.000460552 0.0435785 
25 0.00251131 0.000604152 0.0752966 
26 0.000245618 0.000718022 0.111897 
27 0.00011535 -0.000275594 0.112617 
28 0.00446759 0.0230103 0.0752923 
29 1.67373e-05 0.005311 0.0781406 
30 -0.000175291 0.000255539 0.123029 
31 0.000214855 0.000767638 0.123329 
32 0.0104388 -0.000640464 0.179142 
33 -0.00129575 0.000238445 0.20065 
34 0.00328244 0.00662449 0.168709 
35 -0.00121511 0.00124141 0.163969 
36 -0.00448353 0.00332565 0.148588 
37 -0.0031602 0.0249217 0.192518 
38 -0.00417383 -0.0049563 0.199244 
39 -0.00552866 0.0010054 0.223563 
40 0.00729169 0.011396 0.198013 
41 -0.0221524 0.00641667 0.155924 
42 -0.00754139 0.00235509 0.172575 
43 -0.00779853 0.02651 0.149882 
44 -0.0151631 0.012979 0.158373 
45 -0.00167338 0.0306543 0.187303 
46 -0.0147939 0.0101038 0.179396 
47 0.00655484 0.00126286 0.212822 
48 -0.00845415 0.00459875 0.167511 
49 0.0295247 -0.00258322 0.194091 
50 0.000288849 0.0231436 0.0962255 
51 -0.020464 0.0196063 0.140181 
52 -0.018492 0.0184242 0.131798 
53 -0.00975705 0.0107362 0.1948 
54 -0.0206956 0.0468934 0.120516 
55 -0.0265729 0.0110633 0.0905234 
56 0.747366 -0.249009 0.0417891 
57 -0.0216494 0.0231256 0.103745 
58 -0.0298033 0.0173413 0.0805007 
59 0.0128113 0.0108494 0.228235 
60 -0.00979988 0.0159211 0.209178 
61 -0.0202593 0.017953 0.0752521 
62 -0.0117679 0.014886 0.0828973 
63 0.0401536 0.0474794 0.0441071 
64 -0.0206211 0.0432063 0.0489504 
65 -0.0150659 0.0223179 0.182032 
66 0.00534536 0.0350839 0.128494 
67 -0.0080861 0.0447204 0.0427415 
68 -0.020006 0.0158675 0.081747 
69 -0.0048979 0.0347993 0.0433959 
70 -0.0181868 0.0370396 0.0318896 
71 0.00877568 0.0552393 0.0188031 
72 -0.0148346 0.0355589 0.0433634 
73 -0.0147851 0.039837 0.0306014 
74 -0.0184057 0.0353504 0.0287815 
75 0.655312 0.625252 -0.0060448 
76 -0.0110491 0.0472126 0.0250826 
77 -0.0114576 0.0450662 0.0252911 
78 -0.00703351 0.0640805 0.0195696 
79 -0.00948096 0.0546742 0.0253165 
80 -0.00874749 0.0588443 0.0277815 
81 0.0090383 0.0613196 0.0110977 
82 -0.00837372 0.0647627 0.0131483 
83 -0.0101431 0.0690429 0.0131677 
84 -0.00667774 0.0666703 0.0200584 
85 -0.00578946 0.0757406 0.0144567 
86 -0.00778278 0.0786071 0.00630481 
87 -0.00539678 0.0764734 0.0154652 
88 -0.00195611 0.0872935 0.00520593 
89 -0.0107861 0.0719449 0.00920689 
90 -0.00294363 0.0855645 0.00824979 
91 -0.00286967 0.0862377 0.00601239 
92 -0.00221602 0.0896245 0.00550629 
93 -0.00108406 0.0933567 -0.00027791 
94 -0.001368 0.0957182 -0.000373781 
95 -0.000363226 0.0956188 0.00367708 
96 0.0157173 0.0990302 0.0133181 
97 -0.00140688 0.102084 0.00114674 
98 0.000820977 0.101033 -0.00427082 
99 0.00733634 0.101389 -0.0015337 
100 -0.00037864 0.0994079 0.000476098 
101 -4.4088e-05 0.100724 -9.81247e-05 
102 -0.000124603 0.102707 -0.0040172 
103 0.000283629 0.0968128 -0.00204633 
104 0.000704584 0.0993155 -0.00191182 
105 0.00223013 0.107252 -0.0155652 
106 0.000745023 0.107707 -0.00733488 
107 0.00184733 0.108709 -0.00395613 
108 0.00194512 0.104844 -0.00818007 
109 0.000100309 0.105917 -0.0158271 
110 0.000557264 0.105184 -0.0101358 
111 0.00125035 0.10396 -0.00522502 
112 -8.64142e-05 0.105024 -0.0164695 
113 0.000360434 0.0928841 -0.00130436 
114 0.00120392 0.0990374 -0.0150448 
115 0.00451007 0.100139 -0.00261071 
116 0.00175048 0.101054 -0.00662328 
117 0.000992359 0.100849 -0.00429806 
118 0.0023467 0.0937833 -0.0273197 
119 0.000720249 0.0989631 -0.00122242 
120 0.00171986 0.0956869 -0.00409525 
121 0.00130831 0.0888671 -0.00570882 
122 0.00087413 0.0807926 -0.00601077 
123 -0.00253699 0.0852929 -0.00336646 
124 0.000504935 0.0888857 -0.00359565 
125 0.00125499 0.0864781 -0.017576 
126 0.00155587 0.0843576 -0.00108028 
127 0.00519594 0.0801519 -0.00912943 
128 0.000977495 0.0772818 -0.00300656 
129 0.000592374 0.0654329 0.00164138 
130 0.00413384 0.0787688 -0.00693175 
131 0.000541728 0.0710445 -0.00545979 
132 -0.00216204 0.0757738 -0.00111103 
133 0.00265803 0.0675703 -0.00210506 
134 -0.000327813 0.0594574 -0.00316663 
135 0.000938304 0.0654135 -0.00831677 
136 0.000381158 0.0615911 -0.00805652 
137 0.00179664 0.0625153 -0.00150966 
138 0.000569353 0.0564504 -0.000594892 
139 0.00203944 0.0520895 -0.00119075 
140 0.000440063 0.0582299 -0.00193084 
141 -0.000486501 0.0527373 -0.0253148 
142 0.0016271 0.0541481 -0.0110766 
143 0.00134624 0.0494453 -0.00315133 
144 0.000704803 0.0505631 -0.000873568 
145 0.00132283 0.049487 -0.0136616 
146 0.00273405 0.0473206 -0.00138913 
147 0.00141056 0.0459334 -0.00646638 
148 0.0061123 0.0468407 -0.00336433 
149 0.00363658 0.042525 -0.00227333 
150 0.00208103 0.0405105 -0.0022446 
151 0.000764186 0.0395569 -0.000654028 
152 -0.000308833 0.0353081 -0.00455138 
153 0.000637553 0.0377181 -0.00259183 
154 -0.000171017 0.0356583 -0.00190053 
155 -1.2475e-05 0.0323827 -0.00560152 
156 0.00053383 0.028746 0.000438863 
157 0.000488266 0.0315622 -0.00107095 
158 0.000648937 0.0305134 -0.00818768 
159 0.000549797 0.030711 -0.00282704 
160 0.000349191 0.0288474 -0.00752126 
161 0.000270248 0.0258566 -5.54784e-05 
162 0.000411588 0.0271863 -0.00413564 
163 0.000384693 0.0235553 -0.00142257 
164 0.000255094 0.0248829 -0.00093177 
165 0.00141414 0.0240867 -0.0008684 
166 0.00191858 0.0224169 -0.00318698 
167 0.000204238 0.0211452 -0.00227685 
168 0.000322006 0.0208299 -0.00141963 
169 0.000204251 0.0206447 -0.00071223 
170 0.000340263 0.0189906 -0.000493691 
171 9.84875e-05 0.019095 -0.000650487 
172 0.000232353 0.0183524 -0.00038298 
173 0.000103913 0.0176863 -0.00301836 
174 8.57786e-05 0.0162623 -0.00312472 
175 0.000510698 0.0159703 -0.0010427 
176 0.000246945 0.0143482 -0.000136595 
177 0.00129383 0.0145899 -0.000462096 
178 0.000495655 0.0140558 -4.08221e-05 
179 0.000507202 0.0130964 0.000169694 
180 0.000105361 0.0129486 -0.00155134 
181 0.000215716 0.0124982 6.32129e-06 
182 -3.69271e-05 0.0115884 -0.00124783 
183 0.00131602 0.0108729 0.000177899 
184 0.000683363 0.0107264 2.46509e-05 
185 0.000868293 0.0103166 -0.00138138 
186 0.000124107 0.0100469 3.26266e-05 
187 0.000148958 0.00934304 -8.5824e-05 
188 5.21775e-05 0.00872952 0.000157986 
189 6.95981e-05 0.0085992 -0.000870677 
190 0.0001004 0.00855097 -0.00045245 
191 -7.12826e-06 0.00826336 -0.00152335 
192 7.65146e-05 0.00706536 8.40641e-05 
193 8.85811e-05 0.00769443 0.000195792 
194 6.87848e-05 0.00711974 0.000362147 
195 8.43497e-05 0.00717437 0.000308463 
196 2.2304e-05 0.00627575 5.65549e-05 
197 -1.11945e-05 0.00650127 -0.000110264 
198 0.00108731 0.00662915 -0.000234493 
199 1.81759e-05 0.0059202 -0.000834755 
200 9.48455e-05 0.00551779 0.000321026 
201 1.82552e-05 0.00525995 -0.000183035 
