# Max value = 2.36e-01, Min value = 5.33e-04
x f1 f2 f3 
1 0.059661 0.0559904 0.12066 
2 0.0594713 0.0428683 0.134778 
3 0.0607466 0.0365225 0.137287 
4 0.0611603 0.0328015 0.147704 
5 0.0626006 0.0314309 0.156197 
6 0.0646098 0.0304855 0.165899 
7 0.0669261 0.0316032 0.171825 
8 0.0693983 0.0324303 0.178628 
9 0.0710853 0.0343968 0.183117 
10 0.0745045 0.0371767 0.192977 
11 0.0776117 0.0404785 0.198458 
12 0.0817171 0.0442025 0.207388 
13 0.0874915 0.0497915 0.213478 
14 0.092167 0.0584568 0.22123 
15 0.100596 0.0680336 0.225595 
16 0.108018 0.0757837 0.23161 
17 0.112984 0.085605 0.230039 
18 0.119978 0.0900291 0.23187 
19 0.123954 0.104065 0.225463 
20 0.128622 0.110546 0.221884 
21 0.133573 0.11739 0.212155 
22 0.138809 0.125716 0.199966 
23 0.142634 0.137451 0.188758 
24 0.14629 0.145986 0.178379 
25 0.150049 0.156936 0.16396 
26 0.156915 0.170238 0.147849 
27 0.163026 0.17933 0.128603 
28 0.166919 0.193241 0.113474 
29 0.169978 0.205261 0.0916457 
30 0.172785 0.21401 0.0745313 
31 0.178699 0.218807 0.0620577 
32 0.178422 0.225267 0.0444121 
33 0.181114 0.230648 0.0356994 
34 0.183093 0.234615 0.0276881 
35 0.184367 0.23609 0.0196707 
36 0.18396 0.231822 0.0147994 
37 0.185909 0.228736 0.0111716 
38 0.181575 0.223509 0.00699387 
39 0.18056 0.2116 0.00933911 
40 0.179891 0.198424 0.00909697 
41 0.173733 0.182907 0.00425689 
42 0.171432 0.165236 0.00245368 
43 0.16609 0.147963 0.00624126 
44 0.163136 0.132772 0.0066613 
45 0.156771 0.116744 0.00560457 
46 0.150759 0.0991375 0.00583154 
47 0.144406 0.0839358 0.00814651 
48 0.136843 0.0726171 0.00842891 
49 0.129081 0.0568871 0.00885022 
50 0.118731 0.0443457 0.0102897 
51 0.107883 0.0352917 0.00653983 
52 0.0978389 0.0268849 0.0032431 
53 0.0865279 0.0199269 0.00820858 
54 0.0758204 0.0146096 0.00990882 
55 0.0637382 0.0111762 0.00656345 
56 0.0543278 0.00715595 0.000533298 
57 0.0457745 0.00744515 0.00330361 
58 0.0366908 0.00551503 0.00767632 
59 0.0295286 0.00448844 0.00339907 
60 0.0243016 0.00360595 0.00700816 
61 0.019897 0.00287626 0.00590267 
