# Max value = 4.36e-01, Min value = -3.42e-25
x f1 f2 f3 
1 0.000239214 0.000216301 0.000249365 
2 0 0 0.000557357 
3 0.00226169 0.00152224 0.0153605 
4 9.72611e-06 0 0.00403386 
5 3.30485e-05 2.49732e-05 0.000278522 
7 0.0011916 0 0.000983022 
8 0 0 0 
9 0.00280388 0.000289384 0.00129586 
10 0.000109843 2.26319e-05 0.000167508 
11 0.000125316 0.0274651 0 
12 0.000295872 0.00405661 0.000125457 
13 0.00750615 0.0245024 0.00370789 
14 0 0.000817002 1.64004e-05 
15 3.42568e-06 8.9768e-05 0.000395306 
16 0 6.57715e-05 0.000565976 
17 0 0.0272243 0 
18 0.00533188 0.0190027 0.0245555 
19 1.85516e-05 6.63293e-05 0.000224815 
20 -3.41877e-25 0.00264806 3.57585e-05 
21 0.00650274 0.0138999 0.00206462 
22 0.00611542 0.000346265 0.0026022 
23 0.00414256 0.0115098 0.113825 
24 0 0.233111 0 
25 0.000113219 0.000287504 5.5408e-05 
26 3.17979e-05 0 0.192898 
27 0.000372896 0.00836549 0.0148024 
28 0.0654771 0.00146961 0.00536952 
29 0.102758 0.171838 0 
30 0.368884 0.00148363 0 
32 0.0357584 0.436038 0 
33 0 1.57382e-05 0.000138351 
34 0.00105281 0.000828258 0.00166873 
36 0.0521 0.0329262 0.000730845 
37 0.0327287 3.2118e-06 0.000108015 
38 0.0913213 0 0 
39 0.0244493 0.0411196 0 
40 0.251249 0.00326782 0 
41 0.38924 3.08128e-06 0.000101499 
42 0.00999851 3.92392e-05 0.000440597 
43 0.0195481 0.0649726 0.0308145 
44 0.0440833 0.0184534 0.232057 
45 0.0874675 0 0.0014273 
47 0.0680696 0.00813861 0.0342046 
48 0.139129 0.00116463 0.000352484 
49 0.15594 0.00176621 0.00135683 
50 3.35444e-05 0.00141354 0.001836 
51 0.148187 0.000410081 0.00242768 
52 0.0536076 0.00296103 0.00109483 
53 0.0745279 0.000442343 0.00272714 
54 0.00475822 0.131926 0.0870802 
55 0.215653 0 0.00335818 
56 0.249817 0.000172768 0.00491685 
58 0.121333 0.00483696 0.0444437 
59 0.135146 0.082071 0 
60 0.0820102 0.0545143 0.00380168 
61 0.0125 0.0167751 0.102108 
62 0.0530729 0.0238246 0.0333592 
63 0.0105577 0.0205069 0.0103463 
64 0.0080317 0.0341427 0.144719 
65 0.0405383 0.00868324 0.0343373 
66 0.0750354 0.0263083 0.0226735 
68 0.00177095 0.0419385 0.0331447 
69 0.0749369 2.84998e-05 0.030234 
70 0.238183 0.139114 0.031716 
71 0.24831 0.0286532 0.00932797 
73 0.100253 0.012617 0.0488378 
74 0.000727325 0.00763805 3.05444e-06 
75 0.0684479 0.0390848 0.0123671 
76 0.00408008 0.0972823 0.0206207 
77 0.0824325 9.49228e-05 0.0797826 
78 0.0264341 0.0389411 0.00740107 
79 0.0339157 0.0528037 0.0105004 
80 0.076124 0.156017 0.0303206 
81 0.270724 0.0862898 0.0593674 
82 0.0715576 0.000461404 0.124669 
83 0.0678588 0.0602322 0.00326461 
84 0.068999 0.00100585 0.0209838 
85 7.32121e-05 0.109893 0.00366836 
86 0.0962755 0.053577 0.0803378 
87 0.00668957 0.156579 0.0616622 
88 0.0476097 0.0919847 0.113226 
90 0.057723 0.00936938 0.00145938 
91 0.0897857 0.12615 0.0267869 
92 0.000560357 0.068979 0.11481 
93 0.00626859 0.073813 0.103622 
94 0.107188 0.0395788 0.112241 
95 0.0544164 0.0779568 0.210284 
96 0.0872359 0.0323616 0.0446733 
97 0.00662428 0.00292816 0.218486 
98 0.0199691 0.0592167 0.232746 
99 0.0777786 0.0627133 0.00290555 
100 0.0236796 0.000193085 0.20558 
101 0.111347 0.135015 0.119764 
102 0.0140861 0.0370127 0.154901 
103 0.000186884 0.10142 0.0721776 
104 0.0397569 0 0.12776 
105 0.0277156 0.00128346 0.172633 
106 0.0391752 0.0133769 0.180255 
107 0.105922 0.199394 0.137092 
108 0.028479 0.225146 0.127996 
109 0.0241332 0.179671 0.12608 
110 0.0440635 0.020292 0.166742 
111 0.110503 0.0141539 0.120707 
112 0.00595901 0.00249797 0.164403 
113 0.00186635 0.00609651 0.134464 
114 0.00505915 0.0834836 0.0234893 
115 6.94739e-05 0.0143708 0.15733 
116 0.0470766 0.0763697 0.123591 
118 0.0126471 0.0126327 0.0002211 
119 0.0402325 0.161489 0.0264 
120 0.0562222 0.198317 0.10028 
121 0.0220177 0.00133885 0.138836 
122 0.0046256 0.0343262 0.137408 
124 0.0165962 0.0806427 0.072713 
125 0.0069008 0.100875 0.0201009 
126 0.0800311 0.0374326 0.098343 
127 0 0.109676 0.101596 
128 0 0.00431438 0.150987 
129 0.0197174 0.397123 0.103405 
130 0.0070875 0.087626 0.0177862 
131 0.059411 0.0269001 0.0608522 
133 0.0344984 0.0491168 0.0676404 
134 0.00196496 0.0163124 0.103228 
135 0.00116747 0.0351294 0.105428 
136 0.00633908 0.00175792 0.156839 
137 0.00042199 0.00291789 0.113654 
138 0.000272594 0.000309963 0.0666392 
139 0.00287193 0.0309824 0.0626639 
140 0.0628279 0.0116323 0.0885589 
141 0.00401447 0 0.0705714 
142 0.000155033 0.0868373 0.0775829 
143 0.0297572 0.0789575 0.0901837 
144 0.0296962 0.0073196 0.0522535 
145 0.0039562 0.0226786 0 
147 0.00604058 0.000203234 0.000631868 
148 0.00345339 0.1248 0.0217398 
149 0.0125846 0.0234868 0.0536204 
150 0.00312274 0.130671 0.0672367 
151 0.00218693 0.16328 0.0570172 
152 0.00157312 0.0021115 7.20746e-05 
153 0.0382872 0.00524442 0.0446945 
154 0.0234557 0.0121961 0.00946294 
155 0.0147922 0.0544291 0.0523946 
156 0.0132813 0.0313505 0.0731188 
157 0 0.000709869 0.0547294 
158 0.00146205 0.0247177 0.0125282 
159 0.0359826 0.000504977 0.00193284 
160 0.0228959 0.010831 0.000143902 
161 0.0230221 0.0281626 0.0302461 
162 0.0516399 0.0158845 0.0434155 
163 0.00336814 0.00827626 0.0613486 
