# Max value = 2.09e-01, Min value = 0.00e+00
x f1 f2 f3 
1 0.000238711 0.000336305 0.00022573 
2 0.000279264 0.000243942 0.000359686 
3 0.000261562 0.000176149 0 
4 0.000447252 0.000222756 0 
5 0.000273958 0.000117362 0 
6 0 0.000905105 0.000436312 
7 4.64387e-05 0.000680468 0 
8 0.000125429 0.000425228 0 
9 0.000185483 0.000565987 0.000550597 
10 0.0002704 0.000694476 0.00135415 
11 0.000413832 8.57656e-05 0.00149256 
12 0.000289315 0.000742507 0.00310292 
13 0.000304849 0.000508034 0.00563042 
14 0.000247537 0.00062296 0.00787287 
15 0.000218319 0.000111487 0.0113427 
16 0.000380331 0.00041869 0.0182615 
17 0.000334303 0.000877709 0.0246836 
18 0.000275251 0.00173231 0.0340763 
19 0.00195438 0.00132837 0.0423664 
20 0.000490051 0.000628405 0.0522926 
21 0.000251862 0.000439806 0.0643676 
22 0.00113332 0.00103154 0.0751469 
23 0.000436342 0.00263881 0.0886902 
24 0 0.00138632 0.102272 
25 9.00053e-05 0.00119824 0.116193 
26 2.69269e-05 0.00167651 0.128818 
27 0.000611267 0.00171949 0.142072 
28 0.000325115 0.00362497 0.152647 
29 7.14045e-05 0.00461077 0.163429 
30 0.000371047 0.00809909 0.176146 
31 0.000839565 0.0101406 0.18289 
32 0.000556681 0.0117879 0.19383 
33 0.000257788 0.0168143 0.198531 
34 0.00054122 0.0235088 0.202879 
35 0.00040735 0.0307375 0.203711 
36 0 0.037122 0.204627 
37 0.00100171 0.0457619 0.206126 
38 0.000684487 0.0541543 0.209068 
39 0.000778115 0.0653868 0.205435 
40 0.000688648 0.0732976 0.202921 
41 0.00123059 0.0864601 0.200939 
42 0.00174865 0.0959574 0.1943 
43 0.00166693 0.106931 0.188687 
44 0.000548329 0.118449 0.181446 
45 0.000515569 0.129256 0.175805 
46 0.00118454 0.14317 0.16815 
47 0.00107954 0.151504 0.16115 
48 0.00132323 0.161947 0.154111 
49 0.00127527 0.16655 0.146249 
50 0.00146806 0.173903 0.137207 
51 0.00173562 0.180523 0.130149 
52 0.00195777 0.185272 0.123439 
53 0.00246693 0.189084 0.116078 
54 0.00191989 0.192782 0.110856 
55 0.00324314 0.192549 0.102741 
56 0.00435682 0.192943 0.0947757 
57 0.00568695 0.190007 0.0896625 
58 0.00624615 0.188448 0.0826731 
59 0.00732182 0.186531 0.0770366 
60 0.00870538 0.18426 0.070468 
61 0.00994567 0.182338 0.065745 
62 0.0112591 0.176937 0.0609504 
63 0.0134104 0.174018 0.0571102 
64 0.014908 0.171549 0.0524835 
65 0.0177151 0.163083 0.0482049 
66 0.0204001 0.157866 0.0438169 
67 0.0225424 0.155502 0.0416772 
68 0.0250916 0.148272 0.0394756 
69 0.0271972 0.142066 0.0356959 
