# Max value = 2.36e-01, Min value = 5.93e-04
x f1 f2 f3 
1 0.0595841 0.0560441 0.120641 
2 0.0594917 0.0428903 0.134892 
3 0.0605824 0.0365795 0.137546 
4 0.0610211 0.0328991 0.147686 
5 0.0625802 0.0315853 0.156183 
6 0.0645461 0.0305933 0.165915 
7 0.0668739 0.0317012 0.171927 
8 0.0692543 0.0325538 0.178729 
9 0.0711266 0.0344703 0.183299 
10 0.0743467 0.0372811 0.193119 
11 0.0775232 0.0406202 0.19845 
12 0.0814849 0.0442838 0.207427 
13 0.0872595 0.0501302 0.213384 
14 0.0920073 0.0585518 0.221212 
15 0.100611 0.0681057 0.225815 
16 0.10782 0.0758197 0.231773 
17 0.112784 0.0858374 0.230038 
18 0.119839 0.0902775 0.231825 
19 0.123421 0.104105 0.225415 
20 0.128197 0.110724 0.221828 
21 0.133344 0.117502 0.21191 
22 0.138746 0.125872 0.199976 
23 0.142523 0.137556 0.188575 
24 0.146169 0.146053 0.178175 
25 0.14989 0.157132 0.163808 
26 0.156756 0.170217 0.147861 
27 0.162981 0.179279 0.128758 
28 0.166822 0.193232 0.113542 
29 0.169857 0.205187 0.0915086 
30 0.17277 0.213788 0.0740738 
31 0.17875 0.218594 0.0619052 
32 0.178378 0.224944 0.0443067 
33 0.181203 0.230571 0.0355683 
34 0.183134 0.234101 0.0276087 
35 0.184463 0.235835 0.0195564 
36 0.184068 0.231801 0.0146535 
37 0.186198 0.228295 0.0110243 
38 0.1816 0.22361 0.00687816 
39 0.180534 0.211706 0.00929899 
40 0.180032 0.198229 0.00912166 
41 0.17374 0.182997 0.00418945 
42 0.17155 0.165362 0.00217672 
43 0.166077 0.148006 0.00620792 
44 0.163198 0.133038 0.0068988 
45 0.156887 0.117084 0.00571684 
46 0.150918 0.0997693 0.00589067 
47 0.144659 0.0841526 0.00824239 
48 0.137095 0.0727367 0.00852348 
49 0.129352 0.0572031 0.00895533 
50 0.119084 0.0445554 0.0104606 
51 0.108126 0.0356584 0.00668221 
52 0.0979867 0.0271827 0.00340588 
53 0.0866992 0.0201811 0.00837904 
54 0.0760131 0.0147475 0.0101239 
55 0.0638818 0.0113674 0.00660287 
56 0.0544566 0.00724954 0.000592864 
57 0.0458743 0.00758108 0.00333451 
58 0.0367629 0.00563981 0.00775283 
59 0.0295792 0.00461708 0.00344912 
60 0.0243512 0.00372084 0.00703943 
61 0.0199294 0.00295282 0.00593491 
