% file: run_aligned_miranda 
% date: 23-Mar-2026 07:14:19 
rank,runid,seed,time,rerr,it
5,1,99991,4.147488,0.121146202624055,50
5,2,99989,4.226735,0.12129526373271,50
5,3,99971,4.187529,0.12048328415017,50
10,1,99991,14.576451,0.101214338225141,50
10,2,99989,14.709973,0.102037713377266,50
10,3,99971,15.384856,0.10217795693646,50
15,1,99991,34.343025,0.0908826091173943,50
15,2,99989,34.542225,0.0921741405096672,50
15,3,99971,33.325096,0.091719380448915,50
20,1,99991,63.181273,0.0849343495974376,50
20,2,99989,62.575177,0.0844748781587919,50
20,3,99971,63.798195,0.0840912402645192,50
25,1,99991,100.457743,0.079882477905364,50
25,2,99989,101.927982,0.0795368117023962,50
25,3,99971,100.440142,0.0796441630569431,50
30,1,99991,150.960656,0.0756884471099165,50
30,2,99989,149.464361,0.0755629042371806,50
30,3,99971,152.275059,0.075306063122123,50
35,1,99991,218.106309,0.0718163611887072,50
35,2,99989,213.300026,0.0715906801859545,50
35,3,99971,218.474785,0.0714750818235208,50
40,1,99991,301.572909,0.0683241116711031,50
40,2,99989,296.225314,0.0684824487954288,50
40,3,99971,300.931651,0.0686069531186731,50
45,1,99991,391.419185,0.065774604142056,50
45,2,99989,394.106728,0.0654758371235676,50
45,3,99971,395.808737,0.0655088029651946,50
50,1,99991,504.595418,0.0634193295083939,50
50,2,99989,502.918281,0.0635737797537594,50
50,3,99971,504.231117,0.0635220268789297,50
