% file: run_aligned_miranda 
% date: 23-Mar-2026 07:14:19 
rank,runid,seed,time,rerr,it
5,3,99971,4.187529,0.12048328415017,50
10,1,99991,14.576451,0.101214338225141,50
15,1,99991,34.343025,0.0908826091173943,50
20,3,99971,63.798195,0.0840912402645192,50
25,2,99989,101.927982,0.0795368117023962,50
30,3,99971,152.275059,0.075306063122123,50
35,3,99971,218.474785,0.0714750818235208,50
40,1,99991,301.572909,0.0683241116711031,50
45,2,99989,394.106728,0.0654758371235676,50
50,1,99991,504.595418,0.0634193295083939,50
