% file: run_aligned_miranda 
% date: 23-Mar-2026 05:45:11 
rank,runid,seed,time,rerr,it
5,1,99991,2.39562,0.121146202624055,50
5,2,99989,2.432616,0.121295263732709,50
5,3,99971,2.534634,0.120483284150169,50
10,1,99991,2.475269,0.10121433822514,50
10,2,99989,2.467563,0.102037713377266,50
10,3,99971,2.436968,0.102177956936454,50
15,1,99991,2.66111,0.0908826091173944,50
15,2,99989,2.650478,0.0921741405096606,50
15,3,99971,2.581613,0.091719380448914,50
20,1,99991,2.746634,0.0849343495974385,50
20,2,99989,2.666114,0.0844748781587904,50
20,3,99971,2.727513,0.0840912402645179,50
25,1,99991,2.75361,0.0798824779053798,50
25,2,99989,2.816848,0.0795368117023907,50
25,3,99971,2.819852,0.0796441630569457,50
30,1,99991,3.188137,0.0756884471099198,50
30,2,99989,3.12299,0.0755629042371786,50
30,3,99971,2.924838,0.0753060631221224,50
35,1,99991,3.134208,0.0718163611887099,50
35,2,99989,3.039548,0.0715906801859538,50
35,3,99971,3.034798,0.071475081823525,50
40,1,99991,3.309394,0.0683241116711026,50
40,2,99989,3.249365,0.0684824487954259,50
40,3,99971,3.183466,0.0686069531186865,50
45,1,99991,3.428549,0.0657746041420576,50
45,2,99989,3.432628,0.065475837123565,50
45,3,99971,3.198681,0.0655088029651905,50
50,1,99991,3.382969,0.0634193295083906,50
50,2,99989,3.455032,0.0635737797537575,50
50,3,99971,3.33099,0.0635220268789315,50
