% file: run_aligned_miranda 
% date: 23-Mar-2026 05:45:11 
rank,runid,seed,time,rerr,it
5,3,99971,2.534634,0.120483284150169,50
10,1,99991,2.475269,0.10121433822514,50
15,1,99991,2.66111,0.0908826091173944,50
20,3,99971,2.727513,0.0840912402645179,50
25,2,99989,2.816848,0.0795368117023907,50
30,3,99971,2.924838,0.0753060631221224,50
35,3,99971,3.034798,0.071475081823525,50
40,1,99991,3.309394,0.0683241116711026,50
45,2,99989,3.432628,0.065475837123565,50
50,1,99991,3.382969,0.0634193295083906,50
