% file: run_aligned_miranda 
% date: 23-Mar-2026 05:43:42 
rank,runid,seed,time,rerr,it
5,1,99991,2.445797,0.121144863622846,50
5,2,99989,2.445839,0.121294519097502,50
5,3,99971,2.438883,0.120483164448517,50
10,1,99991,2.602316,0.101214644400974,50
10,2,99989,2.527951,0.102038349282499,50
10,3,99971,2.44731,0.102186953972139,50
15,1,99991,2.719548,0.0908836043814145,50
15,2,99989,2.768397,0.0921942635408268,50
15,3,99971,2.722616,0.0917189894116708,50
20,1,99991,2.985606,0.0849335659776439,50
20,2,99989,2.756399,0.0844740980477545,50
20,3,99971,2.832711,0.0840919547209644,50
25,1,99991,3.140357,0.0798837339074713,50
25,2,99989,3.032217,0.0795335885548577,50
25,3,99971,2.940063,0.0796479083611441,50
30,1,99991,3.251171,0.0756763928676525,50
30,2,99989,3.233099,0.0755576526195747,50
30,3,99971,3.214777,0.075306704570365,50
35,1,99991,3.346239,0.0718053132559437,50
35,2,99989,3.304578,0.0715881037357104,50
35,3,99971,3.36176,0.071425065291977,50
40,1,99991,3.586196,0.0683798490738253,50
40,2,99989,3.634486,0.068459303177486,50
40,3,99971,3.596425,0.068678068514463,50
45,1,99991,3.922297,0.0658709541812615,50
45,2,99989,3.748416,0.0656027940851003,50
45,3,99971,3.756211,0.0654870698121192,50
50,1,99991,3.955779,0.0631121866940152,50
50,2,99989,3.992424,0.0636307347140692,50
50,3,99971,3.877505,0.0634899915671348,50
