% file: run_aligned_miranda 
% date: 23-Mar-2026 05:43:42 
rank,runid,seed,time,rerr,it
5,3,99971,2.438883,0.120483164448517,50
10,1,99991,2.602316,0.101214644400974,50
15,1,99991,2.719548,0.0908836043814145,50
20,3,99971,2.832711,0.0840919547209644,50
25,2,99989,3.032217,0.0795335885548577,50
30,3,99971,3.214777,0.075306704570365,50
35,3,99971,3.36176,0.071425065291977,50
40,1,99991,3.586196,0.0683798490738253,50
45,3,99971,3.756211,0.0654870698121192,50
50,1,99991,3.955779,0.0631121866940152,50
