% file: run_unaligned_miranda 
% date: 16-Jul-2026 08:14:07 
rank,runid,seed,time,rerr,it
5,1,99991,9.269585,0.120491417545584,50
5,2,99989,9.117271,0.11838978499484,50
5,3,99971,9.06216,0.119203333784726,50
10,1,99991,16.773891,0.0990584433834362,50
10,2,99989,16.817287,0.0975772719949464,50
10,3,99971,17.050348,0.0973429681720253,50
15,1,99991,26.242308,0.0856790160513556,50
15,2,99989,26.267043,0.0864055982083588,50
15,3,99971,26.32093,0.0835789520629302,50
20,1,99991,33.079327,0.0767886796740149,50
20,2,99989,33.128455,0.0763846142420049,50
20,3,99971,32.530408,0.0759228672982504,50
25,1,99991,42.771073,0.0694751079239778,50
25,2,99989,41.547316,0.0694955285602041,50
25,3,99971,42.066398,0.06963008663187,50
30,1,99991,48.957081,0.0630267082020693,50
30,2,99989,47.975141,0.0643250374514423,50
30,3,99971,49.063143,0.0629074851742244,50
35,1,99991,62.139038,0.0585468391037493,50
35,2,99989,59.254928,0.0588603418804404,50
35,3,99971,59.692346,0.0584607343475968,50
40,1,99991,66.090726,0.0546753869569483,50
40,2,99989,65.631165,0.0535301835745375,50
40,3,99971,64.626301,0.0543130759807643,50
45,1,99991,76.475426,0.0505590106099352,50
45,2,99989,77.619219,0.0499321514874384,50
45,3,99971,64.32711,0.0509263475227369,41
50,1,99991,84.446864,0.0466102359388329,50
50,2,99989,84.089573,0.0471427540450686,50
50,3,99971,82.491391,0.0465086302409487,50
