% file: run_unaligned_miranda 
% date: 16-Jul-2026 08:14:07 
rank,runid,seed,time,rerr,it
5,2,99989,9.117271,0.11838978499484,50
10,3,99971,17.050348,0.0973429681720253,50
15,3,99971,26.32093,0.0835789520629302,50
20,3,99971,32.530408,0.0759228672982504,50
25,1,99991,42.771073,0.0694751079239778,50
30,3,99971,49.063143,0.0629074851742244,50
35,3,99971,59.692346,0.0584607343475968,50
40,2,99989,65.631165,0.0535301835745375,50
45,2,99989,77.619219,0.0499321514874384,50
50,3,99971,82.491391,0.0465086302409487,50
