% file: run_unaligned_miranda 
% date: 20-Mar-2026 23:27:02 
rank,runid,seed,time,rerr,it
5,1,99991,97.790277,0.118133553537039,50
5,2,99989,75.593386,0.116684897021345,50
5,3,99971,75.102601,0.119436951103955,50
10,1,99991,228.484232,0.0968412631983609,50
10,2,99989,229.768867,0.0945928564705096,50
10,3,99971,228.791668,0.0961802239022887,50
15,1,99991,481.045813,0.0827709353318944,50
15,2,99989,479.695005,0.0837208265038548,50
15,3,99971,476.68049,0.0831022733015186,50
20,1,99991,820.126074,0.0740956889854809,50
20,2,99989,821.975732,0.0746534394398566,50
20,3,99971,819.289025,0.0739049803243548,50
25,1,99991,1303.448866,0.067088872371573,50
25,2,99989,1300.065267,0.0656151793650607,50
25,3,99971,1299.254246,0.0668324044214863,50
30,1,99991,1844.384775,0.0599145360605396,50
30,2,99989,1851.694367,0.0602116873270315,50
30,3,99971,1846.204851,0.060082044407879,50
35,1,99991,2522.998528,0.0542851081885849,50
35,2,99989,2515.954835,0.0545704076755116,50
35,3,99971,2551.323385,0.0545713126697451,50
40,1,99991,3343.084483,0.049365536476677,50
40,2,99989,3384.160467,0.0504969134298976,50
40,3,99971,3299.009676,0.0494767411931704,50
45,1,99991,4181.623477,0.0451320583283078,50
45,2,99989,4181.882037,0.0447461609692732,50
45,3,99971,4193.956629,0.0454542045178452,50
50,1,99991,5170.269644,0.0405286386998507,50
50,2,99989,5173.118313,0.0405842648201407,50
50,3,99971,5174.038434,0.0402944497179965,50
