% file: run_unaligned_miranda 
% date: 20-Mar-2026 23:27:02 
rank,runid,seed,time,rerr,it
5,2,99989,75.593386,0.116684897021345,50
10,2,99989,229.768867,0.0945928564705096,50
15,1,99991,481.045813,0.0827709353318944,50
20,3,99971,819.289025,0.0739049803243548,50
25,2,99989,1300.065267,0.0656151793650607,50
30,1,99991,1844.384775,0.0599145360605396,50
35,1,99991,2522.998528,0.0542851081885849,50
40,1,99991,3343.084483,0.049365536476677,50
45,2,99989,4181.882037,0.0447461609692732,50
50,3,99971,5174.038434,0.0402944497179965,50
