% file: run_unaligned_miranda 
% date: 20-Mar-2026 06:47:30 
rank,runid,seed,time,rerr,it
5,1,99991,1.439493,0.118134389270075,50
5,2,99989,1.515366,0.116686016693657,50
5,3,99971,1.45434,0.119438294056105,50
10,1,99991,2.939679,0.0968423998325503,50
10,2,99989,3.016847,0.0945939422210043,50
10,3,99971,3.010908,0.0961813204136621,50
15,1,99991,4.632756,0.0827702071849056,50
15,2,99989,4.84792,0.0837227781299233,50
15,3,99971,4.966598,0.0831054522401352,50
20,1,99991,6.796293,0.0740974891889275,50
20,2,99989,6.76989,0.0746583605600098,50
20,3,99971,6.775255,0.0739086739282383,50
25,1,99991,8.643397,0.067091275233761,50
25,2,99989,8.774303,0.0656239135159063,50
25,3,99971,8.609499,0.0668313713056367,50
30,1,99991,10.768943,0.0599158002402783,50
30,2,99989,10.684378,0.0602088523044916,50
30,3,99971,10.318379,0.0600889078386553,50
35,1,99991,12.892135,0.054288696637627,50
35,2,99989,12.820145,0.0545729969552669,50
35,3,99971,12.966064,0.0545728891448982,50
40,1,99991,15.030255,0.0493659610424693,50
40,2,99989,15.217691,0.0504966816590658,50
40,3,99971,14.917344,0.0494798683932205,50
45,1,99991,17.991728,0.045134666131744,50
45,2,99989,18.080584,0.0447484924354675,50
45,3,99971,17.70109,0.0454582020297507,50
50,1,99991,20.967983,0.0405303235593426,50
50,2,99989,20.924231,0.0405868435224564,50
50,3,99971,21.446501,0.0402942435435025,50
