% file: run_unaligned_miranda 
% date: 20-Mar-2026 06:47:30 
rank,runid,seed,time,rerr,it
5,2,99989,1.515366,0.116686016693657,50
10,2,99989,3.016847,0.0945939422210043,50
15,1,99991,4.632756,0.0827702071849056,50
20,3,99971,6.775255,0.0739086739282383,50
25,2,99989,8.774303,0.0656239135159063,50
30,1,99991,10.768943,0.0599158002402783,50
35,1,99991,12.892135,0.054288696637627,50
40,1,99991,15.030255,0.0493659610424693,50
45,2,99989,18.080584,0.0447484924354675,50
50,3,99971,21.446501,0.0402942435435025,50
