% file: run_unaligned_miranda 
% date: 16-Jul-2026 08:52:14 
rank,runid,seed,time,rerr,it
5,2,99989,10.429249,0.116691289092989,50
10,2,99989,17.694022,0.094738292507264,50
15,3,99971,24.213084,0.0832902146721619,50
20,3,99971,28.476518,0.0736941503572778,50
25,2,99989,36.665049,0.0656200961336879,50
30,3,99971,44.058829,0.0600231982453525,50
35,1,99991,55.259884,0.054310210150705,50
40,1,99991,57.37524,0.0492644698065219,50
45,2,99989,68.955516,0.0448298204521421,50
50,3,99971,75.402133,0.0403492869255242,50
