% file: run_aligned_vortex 
% date: 23-Mar-2026 09:23:33 
rank,runid,seed,time,rerr,it
5,1,99991,0.775262,0.150282982265462,6
5,2,99989,6.456361,0.125721193949936,50
5,3,99971,5.717032,0.125703281066511,50
10,1,99991,18.678079,0.0480898088716924,50
10,2,99989,18.64183,0.0471888936233633,50
10,3,99971,18.786322,0.0485211861741522,50
15,1,99991,44.621958,0.0308605565376855,50
15,2,99989,45.140289,0.0291252950223675,50
15,3,99971,45.294174,0.0350216786786052,50
20,1,99991,83.057478,0.0216223489777472,50
20,2,99989,84.015745,0.0223483303285772,50
20,3,99971,83.412318,0.0227710999471901,50
25,1,99991,138.485196,0.0195931109972813,50
25,2,99989,137.981156,0.0190075853778609,50
25,3,99971,139.16788,0.0197919105661411,50
30,1,99991,209.484701,0.0144983518535411,50
30,2,99989,209.804957,0.0149306553032097,50
30,3,99971,209.849392,0.0148958293185358,50
35,1,99991,304.704436,0.0112506926139324,50
35,2,99989,302.754717,0.0118275580155393,50
35,3,99971,302.315898,0.012244673674935,50
40,1,99991,424.818435,0.00968225883197844,50
40,2,99989,422.036825,0.00975103723112268,50
40,3,99971,420.790337,0.0095019208144462,50
45,1,99991,555.113095,0.00764694045085139,50
45,2,99989,552.117543,0.0076488909970547,50
45,3,99971,552.216837,0.00812019610135054,50
50,1,99991,739.695114,0.00651681444275369,50
50,2,99989,754.104959,0.00661075855233097,50
50,3,99971,772.872936,0.00661999818848575,50
