% file: run_aligned_vortex 
% date: 23-Mar-2026 09:23:33 
rank,runid,seed,time,rerr,it
5,3,99971,5.717032,0.125703281066511,50
10,2,99989,18.64183,0.0471888936233633,50
15,2,99989,45.140289,0.0291252950223675,50
20,1,99991,83.057478,0.0216223489777472,50
25,2,99989,137.981156,0.0190075853778609,50
30,1,99991,209.484701,0.0144983518535411,50
35,1,99991,304.704436,0.0112506926139324,50
40,3,99971,420.790337,0.0095019208144462,50
45,1,99991,555.113095,0.00764694045085139,50
50,1,99991,739.695114,0.00651681444275369,50
