% file: run_aligned_vortex 
% date: 23-Mar-2026 07:16:49 
rank,runid,seed,time,rerr,it
5,1,99991,0.248327,0.150282982265446,6
5,2,99989,2.019776,0.125721193950056,50
5,3,99971,2.042821,0.125703281066489,50
10,1,99991,1.865458,0.0480898088717954,50
10,2,99989,1.871101,0.0471888936337999,50
10,3,99971,1.904783,0.0485211861881525,50
15,1,99991,2.081898,0.0308605565419286,50
15,2,99989,2.071948,0.0291252950666524,50
15,3,99971,2.067683,0.0350216786725546,50
20,1,99991,2.210506,0.021622349001611,50
20,2,99989,2.187363,0.0223483303892838,50
20,3,99971,2.41836,0.0227710999049672,50
25,1,99991,2.493118,0.0195931111783438,50
25,2,99989,2.226053,0.0190075854413635,50
25,3,99971,2.307234,0.0197919105628022,50
30,1,99991,2.332274,0.0144983518006046,50
30,2,99989,2.173583,0.0149306551430523,50
30,3,99971,2.368199,0.014895829498311,50
35,1,99991,2.450209,0.0112506927306885,50
35,2,99989,2.527713,0.0118275579064607,50
35,3,99971,2.440393,0.0122446747411638,50
40,1,99991,2.436948,0.00968225884922472,50
40,2,99989,2.596307,0.00975103725760361,50
40,3,99971,2.568768,0.00950192071550785,50
45,1,99991,2.507653,0.00764694038715577,50
45,2,99989,2.46428,0.00764889087986988,50
45,3,99971,2.558317,0.00812019615447956,50
50,1,99991,3.207464,0.00651681494389399,50
50,2,99989,3.328168,0.00661075841252777,50
50,3,99971,3.326936,0.00661999811887544,50
