% file: run_aligned_vortex 
% date: 23-Mar-2026 07:16:49 
rank,runid,seed,time,rerr,it
5,3,99971,2.042821,0.125703281066489,50
10,2,99989,1.871101,0.0471888936337999,50
15,2,99989,2.071948,0.0291252950666524,50
20,1,99991,2.210506,0.021622349001611,50
25,2,99989,2.226053,0.0190075854413635,50
30,1,99991,2.332274,0.0144983518006046,50
35,1,99991,2.450209,0.0112506927306885,50
40,3,99971,2.568768,0.00950192071550785,50
45,1,99991,2.507653,0.00764694038715577,50
50,1,99991,3.207464,0.00651681494389399,50
