% file: run_aligned_vortex 
% date: 23-Mar-2026 07:15:39 
rank,runid,seed,time,rerr,it
5,1,99991,0.271542,0.150282985539834,6
5,2,99989,1.995984,0.125721355816647,50
5,3,99971,2.021244,0.125703435502089,50
10,1,99991,2.00465,0.0481214158432475,50
10,2,99989,2.213649,0.0473017369494077,50
10,3,99971,2.192441,0.0485360448967879,50
15,1,99991,2.343189,0.0308810120219204,50
15,2,99989,2.305204,0.0291377025660256,50
15,3,99971,2.208177,0.0353289189455187,50
20,1,99991,2.355382,0.0225452240710949,50
20,2,99989,2.352136,0.0219821977369315,50
20,3,99971,2.321243,0.0225695694291721,50
25,1,99991,2.579635,0.0189138985799153,50
25,2,99989,2.603022,0.0192803543573179,50
25,3,99971,2.545619,0.0198754302371349,50
30,1,99991,2.658847,0.0150064497215392,50
30,2,99989,2.702002,0.0146464042462962,50
30,3,99971,2.680193,0.0149740616718172,50
35,1,99991,2.862031,0.0119095724349725,50
35,2,99989,2.828414,0.0118128595585245,50
35,3,99971,2.812512,0.0125612714588905,50
40,1,99991,2.960163,0.0103904942129153,50
40,2,99989,2.955571,0.0098121125687695,50
40,3,99971,3.026922,0.0096928611453462,50
45,1,99991,3.254322,0.00856098556246326,50
45,2,99989,3.208183,0.00882862497119553,50
45,3,99971,3.074505,0.00874670236466693,50
50,1,99991,3.809588,0.0071565614255785,50
50,2,99989,3.725833,0.00738823992776918,50
50,3,99971,3.804402,0.00762355039727024,50
