% file: run_aligned_vortex 
% date: 23-Mar-2026 07:15:39 
rank,runid,seed,time,rerr,it
5,3,99971,2.021244,0.125703435502089,50
10,2,99989,2.213649,0.0473017369494077,50
15,2,99989,2.305204,0.0291377025660256,50
20,2,99989,2.352136,0.0219821977369315,50
25,1,99991,2.579635,0.0189138985799153,50
30,2,99989,2.702002,0.0146464042462962,50
35,2,99989,2.828414,0.0118128595585245,50
40,3,99971,3.026922,0.0096928611453462,50
45,1,99991,3.254322,0.00856098556246326,50
50,1,99991,3.809588,0.0071565614255785,50
