% file: run_unaligned_vortex 
% date: 16-Jul-2026 09:13:53 
rank,runid,seed,time,rerr,it
5,1,99991,8.514462,0.119073165527088,50
5,2,99989,5.21227,0.119278912652732,30
5,3,99971,6.829552,0.119497433642365,38
10,1,99991,16.726185,0.0512794286410887,50
10,2,99989,16.388085,0.0456430341720206,50
10,3,99971,16.532525,0.0527816336277901,50
15,1,99991,24.804593,0.0406969058674803,50
15,2,99989,24.707604,0.0372245127234213,50
15,3,99971,25.178204,0.0370641234029401,50
20,1,99991,32.945363,0.0243959289147917,50
20,2,99989,32.094331,0.0241195862613164,50
20,3,99971,32.520707,0.0238477311986783,50
25,1,99991,39.34024,0.021830293957299,50
25,2,99989,40.380178,0.0210386869256433,50
25,3,99971,40.071973,0.0208643273931492,50
30,1,99991,47.598119,0.0197758234620463,50
30,2,99989,46.724321,0.0197757329021067,50
30,3,99971,47.334683,0.0201864736542456,50
35,1,99991,55.019041,0.0159439870912039,50
35,2,99989,54.518933,0.0175147751838114,50
35,3,99971,55.667261,0.0193230671393223,50
40,1,99991,63.495252,0.0169303002239609,50
40,2,99989,62.603477,0.0151224369925639,50
40,3,99971,62.582141,0.0171524382606924,50
45,1,99991,70.377253,0.0167369932997095,50
45,2,99989,70.196924,0.0165754257914985,50
45,3,99971,71.04214,0.0184820645333722,50
50,1,99991,69.833344,0.0175077220202787,44
50,2,99989,78.796803,0.0166806250787904,50
50,3,99971,79.218231,0.0161399412081113,50
