% file: run_unaligned_vortex 
% date: 16-Jul-2026 09:13:53 
rank,runid,seed,time,rerr,it
5,1,99991,8.514462,0.119073165527088,50
10,2,99989,16.388085,0.0456430341720206,50
15,3,99971,25.178204,0.0370641234029401,50
20,3,99971,32.520707,0.0238477311986783,50
25,3,99971,40.071973,0.0208643273931492,50
30,2,99989,46.724321,0.0197757329021067,50
35,1,99991,55.019041,0.0159439870912039,50
40,2,99989,62.603477,0.0151224369925639,50
45,2,99989,70.196924,0.0165754257914985,50
50,3,99971,79.218231,0.0161399412081113,50
