% file: run_unaligned_vortex 
% date: 21-Mar-2026 21:57:02 
rank,runid,seed,time,rerr,it
5,1,99991,90.615641,0.118139650824427,50
5,2,99989,91.067776,0.118175986311395,50
5,3,99971,91.867167,0.116912451806052,50
10,1,99991,299.473899,0.054819796442278,50
10,2,99989,300.356347,0.0478964574222293,50
10,3,99971,300.44583,0.0470782658581302,50
15,1,99991,634.018583,0.0378933323141691,50
15,2,99989,632.663747,0.0364014916904109,50
15,3,99971,631.052602,0.035707939513134,50
20,1,99991,1089.708344,0.0220997564424541,50
20,2,99989,1088.06397,0.0216395832302148,50
20,3,99971,1085.302493,0.0224491437252205,50
25,1,99991,1702.470494,0.0175811521201722,50
25,2,99989,1701.324656,0.01833399708199,50
25,3,99971,1695.731874,0.0180321277946745,50
30,1,99991,2455.132281,0.0158598681060573,50
30,2,99989,2458.874569,0.0153553872185734,50
30,3,99971,2452.515002,0.0146689839256921,50
35,1,99991,3419.895214,0.0112323070615664,50
35,2,99989,3424.729729,0.0118711012224115,50
35,3,99971,3378.8959,0.0112837753558582,50
40,1,99991,4431.538459,0.00939482605663213,50
40,2,99989,4428.168646,0.00996273918178889,50
40,3,99971,4439.423419,0.00920678311589177,50
45,1,99991,5628.545457,0.00879499102982149,50
45,2,99989,5661.049612,0.00848313874352526,50
45,3,99971,5663.048893,0.00847802988363471,50
50,1,99991,7041.512705,0.00831983949474319,50
50,2,99989,7135.972023,0.00824706166305969,50
50,3,99971,7159.327477,0.00807959032275862,50
