% file: run_unaligned_vortex 
% date: 21-Mar-2026 21:57:02 
rank,runid,seed,time,rerr,it
5,3,99971,91.867167,0.116912451806052,50
10,3,99971,300.44583,0.0470782658581302,50
15,3,99971,631.052602,0.035707939513134,50
20,2,99989,1088.06397,0.0216395832302148,50
25,1,99991,1702.470494,0.0175811521201722,50
30,3,99971,2452.515002,0.0146689839256921,50
35,1,99991,3419.895214,0.0112323070615664,50
40,3,99971,4439.423419,0.00920678311589177,50
45,3,99971,5663.048893,0.00847802988363471,50
50,3,99971,7159.327477,0.00807959032275862,50
