% file: run_unaligned_vortex 
% date: 20-Mar-2026 23:33:28 
rank,runid,seed,time,rerr,it
5,1,99991,1.248502,0.118141690364204,50
5,2,99989,1.219721,0.11816785226743,50
5,3,99971,1.234051,0.123593933560858,50
10,1,99991,2.480689,0.055207978515514,50
10,2,99989,2.470705,0.0476282259311999,50
10,3,99971,2.540811,0.0483355942398312,50
15,1,99991,3.762556,0.038056850050091,50
15,2,99989,3.777117,0.0359513606062169,50
15,3,99971,3.766635,0.0357860129918504,50
20,1,99991,5.248668,0.0208764821076792,50
20,2,99989,5.336371,0.0217974529480915,50
20,3,99971,5.40161,0.0220700272531871,50
25,1,99991,6.733302,0.0176279469653678,50
25,2,99989,6.749134,0.0182843019248759,50
25,3,99971,6.826801,0.0178200705190992,50
30,1,99991,8.273516,0.0145645036519479,50
30,2,99989,8.231571,0.015964053388872,50
30,3,99971,8.256407,0.0142849800835989,50
35,1,99991,9.987558,0.0127568618071754,50
35,2,99989,10.056553,0.0131336014023872,50
35,3,99971,9.885011,0.011293905217256,50
40,1,99991,11.441976,0.00918777341574219,50
40,2,99989,12.149499,0.00994762734339392,50
40,3,99971,11.738445,0.00938984959381206,50
45,1,99991,13.859597,0.00884316068210405,50
45,2,99989,13.453162,0.00836419545686985,50
45,3,99971,12.77749,0.00871035531791498,50
50,1,99991,14.767506,0.00816368218764906,50
50,2,99989,12.469974,0.00842781954162776,41
50,3,99971,14.521675,0.00787280387346618,50
