% file: run_unaligned_vortex 
% date: 20-Mar-2026 23:33:28 
rank,runid,seed,time,rerr,it
5,1,99991,1.248502,0.118141690364204,50
10,2,99989,2.470705,0.0476282259311999,50
15,3,99971,3.766635,0.0357860129918504,50
20,1,99991,5.248668,0.0208764821076792,50
25,1,99991,6.733302,0.0176279469653678,50
30,3,99971,8.256407,0.0142849800835989,50
35,3,99971,9.885011,0.011293905217256,50
40,1,99991,11.441976,0.00918777341574219,50
45,2,99989,13.453162,0.00836419545686985,50
50,3,99971,14.521675,0.00787280387346618,50
