% file: run_unaligned_vortex 
% date: 16-Jul-2026 09:33:21 
rank,runid,seed,time,rerr,it
5,1,99991,4.111949,0.118157035383606,50
5,2,99989,4.092752,0.118167891727831,50
5,3,99971,4.832097,0.121472400826796,50
10,1,99991,10.74519,0.052895192904474,50
10,2,99989,10.972384,0.0495405884371449,50
10,3,99971,10.543755,0.0495448828149242,50
15,1,99991,18.157145,0.0365817718824078,50
15,2,99989,17.980046,0.0359480681455845,50
15,3,99971,19.03514,0.038209375803798,50
20,1,99991,23.394141,0.0204379792633107,50
20,2,99989,23.172205,0.0217821791375493,50
20,3,99971,25.386436,0.0208152915584736,50
25,1,99991,32.780276,0.0178406838004726,50
25,2,99989,33.410713,0.0184622870554992,50
25,3,99971,33.539727,0.0175758256328079,50
30,1,99991,40.420044,0.0158790984750396,50
30,2,99989,43.893032,0.0160586964663074,50
30,3,99971,41.957717,0.0150220721493286,50
35,1,99991,51.318326,0.0112847321030887,50
35,2,99989,51.100112,0.0104759707502516,50
35,3,99971,51.161687,0.0112248375674251,50
40,1,99991,60.280435,0.00919966572404011,50
40,2,99989,59.539141,0.0090127395597069,50
40,3,99971,60.273288,0.00875830973550435,50
45,1,99991,68.996427,0.00883088681860491,50
45,2,99989,69.203171,0.00907087974803148,50
45,3,99971,69.008014,0.00811829606797462,50
50,1,99991,75.805595,0.008408494214579,50
50,2,99989,75.258038,0.00838640396001861,50
50,3,99971,76.836955,0.008068920864187,50
