% file: run_unaligned_vortex 
% date: 16-Jul-2026 09:59:39 
rank,runid,seed,time,rerr,it
5,3,99971,15.113425,0.115154726563391,50
10,2,99989,24.432306,0.0453705622899172,50
15,2,99989,32.895913,0.0337176986800676,50
20,3,99971,39.464244,0.0222626515152613,50
25,2,99989,47.439202,0.0175632136668145,50
30,2,99989,54.140817,0.0122968010523128,50
35,1,99991,63.08104,0.0107728403755533,50
40,2,99989,72.727845,0.00902637456249087,50
45,3,99971,83.358497,0.00875003601130568,50
50,2,99989,92.396787,0.0132785466340608,50
